Date,Open,High,Low,Close,Volume
2018-08-13,25327.19,25381.39,25153.93,25187.7,64198680
2018-08-14,25215.69,25339.51,25201.87,25299.92,57509176
2018-08-15,25235.37,25235.37,24965.77,25162.41,79783352
2018-08-16,25294.97,25607.34,25294.97,25558.73,85374528
2018-08-17,25550.8,25728.16,25521.66,25669.32,81028248
2018-08-20,25727.7,25790.17,25716.41,25758.69,63537020
2018-08-21,25786.99,25888.82,25784.9,25822.29,66844396
2018-08-22,25825.06,25836.16,25722.43,25733.6,53939888
2018-08-23,25714.86,25762.56,25608.02,25656.98,62561004
2018-08-24,25688.58,25826.05,25688.58,25790.35,60083020
2018-08-27,25882.71,26067.57,25882.71,26049.64,62500940
2018-08-28,26092.7,26122.24,26037.85,26064.02,58625064
2018-08-29,26082.53,26167.94,26035.3,26124.57,61484784
2018-08-30,26099.01,26104.37,25934.8,25986.92,62604524
2018-08-31,25964.85,26028.83,25879.77,25964.82,97360008
2018-09-04,25916.07,25971.77,25805.95,25952.48,75453760
2018-09-05,25919.84,26011.22,25871.04,25974.99,88515368
2018-09-06,25973.02,26073.68,25880.84,25995.87,80743040
2018-09-07,25951.02,26002.99,25818.39,25916.54,85845088
2018-09-10,25991.91,26039.96,25854.13,25857.07,80762496
2018-09-11,25841.14,26019.92,25754.32,25971.06,77315272
2018-09-12,25989.07,26145.72,25929.43,25998.92,82440720
2018-09-13,26083.94,26191.64,26067.08,26145.99,74189584
2018-09-14,26169.56,26211.11,26068.29,26154.67,64677332
2018-09-17,26151.66,26184.47,26030.35,26062.12,72792232
2018-09-18,26076.21,26317.34,26076.21,26246.96,73229944
2018-09-19,26287.84,26464.41,26280.76,26405.76,72953664
2018-09-20,26519.39,26697.49,26519.39,26656.98,80659488
2018-09-21,26726.25,26769.16,26680.37,26743.5,372471360
2018-09-24,26705.25,26709.94,26548.68,26562.05,79881352
2018-09-25,26601.58,26634.85,26475.58,26492.21,75309408
2018-09-26,26536.86,26606.09,26349.34,26385.28,82400016
2018-09-27,26418.27,26557.01,26379.95,26439.93,74440352
2018-09-28,26407.66,26515.76,26383.57,26458.31,85496200
2018-10-01,26598.36,26737.98,26596.05,26651.21,70675288
2018-10-02,26648.91,26824.78,26627.66,26773.94,77276488
2018-10-03,26833.47,26951.81,26789.08,26828.39,82053240
2018-10-04,26784.08,26793.82,26471.61,26627.48,80867272
2018-10-05,26632.77,26676.16,26301.81,26447.05,77864472
2018-10-08,26399.45,26529.35,26223.09,26486.78,84140664
2018-10-09,26469.19,26539.94,26324.16,26430.57,76806488
2018-10-10,26441.73,26441.73,25593.65,25598.74,133223184
2018-10-11,25518.39,25683.64,24899.77,25052.83,152324928
2018-10-12,25407.63,25467.55,25000.83,25339.99,121152656
2018-10-15,25332.46,25482.42,25243.88,25250.55,87150376
2018-10-16,25351.53,25817.68,25351.53,25798.42,86131552
2018-10-17,25705.87,25810.09,25479.16,25706.68,89596608
2018-10-18,25645.56,25691.46,25236.01,25379.45,90745080
2018-10-19,25421.09,25608.71,25350.02,25444.34,113175680
2018-10-22,25492.14,25561.34,25236.05,25317.41,84662046
2018-10-23,25038.46,25307.7,24768.79,25191.43,108172631
2018-10-24,25172.88,25306.23,24533.19,24583.42,136766842
2018-10-25,24736.54,25104.29,24645.56,24984.55,118362050
2018-10-26,24770.25,24916.16,24445.19,24688.31,143088915
2018-10-29,24818.98,25040.58,24122.23,24442.92,121107251
2018-10-30,24482.04,24906.68,24415.69,24874.64,140373515
2018-10-31,25008.82,25336.55,25008.82,25115.76,135693477
2018-11-01,25142.08,25396.47,25108.11,25380.74,107754450
2018-11-02,25443.6,25578.98,25078.72,25270.83,128816000
2018-11-05,25261.47,25507.35,25261.47,25461.7,99050294
2018-11-06,25452.83,25651.86,25444.9,25635.01,82628250
2018-11-07,25788.46,26200.14,25765.88,26180.3,104669169
2018-11-08,26139.59,26277.82,26081.9,26191.22,80450478
2018-11-09,26149.11,26161.49,25882.91,25989.3,101913635
2018-11-12,25959.33,25966.71,25340.51,25387.18,101181926
2018-11-13,25321.21,25511.03,25193.78,25286.49,97261266
2018-11-14,25388.08,25501.29,24935.82,25080.5,114013353
2018-11-15,25061.48,25354.56,24787.79,25289.27,112654692
2018-11-16,25242.35,25510.23,25147.8,25413.22,126867216
2018-11-19,25392.61,25392.61,24900.98,25017.44,104150991
2018-11-20,24618.68,24707.26,24368.98,24465.64,128214475
2018-11-21,24541.65,24669.79,24463.28,24464.69,86168664
2018-11-23,24336.4,24408.8,24268.74,24285.95,45312027
2018-11-26,24364.13,24673.29,24364.13,24640.24,88957612
2018-11-27,24557.02,24750.73,24416.03,24748.73,86202920
2018-11-28,24832.84,25368.93,24832.84,25366.43,105708284
2018-11-29,25340.3,25479.04,25202.79,25338.84,80253858
2018-11-30,25307.14,25549.71,25250.97,25538.46,187768761
2018-12-03,25779.57,25980.21,25670.51,25826.43,113928634
2018-12-04,25752.56,25773.12,25008.11,25027.07,139285028
2018-12-06,24737.42,24951.01,24242.22,24947.67,147265874
2018-12-07,24918.82,25095.62,24284.78,24388.95,124372441
2018-12-10,24360.95,24500.81,23881.37,24423.26,113351808
2018-12-11,24719.91,24791.26,24221.06,24370.24,98286479
2018-12-12,24509.09,24828.29,24509.09,24527.27,104059690
2018-12-13,24575.86,24740.96,24473.29,24597.38,92642418
2018-12-14,24408.04,24431.14,24033.79,24100.51,123952784
2018-12-17,23986.83,24088.08,23456.88,23592.98,147762765
2018-12-18,23769.13,23927.77,23516.02,23675.64,125914510
2018-12-19,23693.33,24057.34,23162.64,23323.66,154592391
2018-12-20,23224.12,23282.2,22644.31,22859.6,185663812
2018-12-21,22871.74,23254.59,22396.34,22445.37,441125970
2018-12-24,22317.28,22339.87,21792.2,21792.2,92293159
2018-12-26,21857.73,22878.92,21712.53,22878.45,135065634
2018-12-27,22629.06,23138.89,22267.42,23138.82,132928540
2018-12-28,23213.61,23381.88,22981.33,23062.4,96900157
2018-12-31,23153.94,23333.18,23118.3,23327.46,98450358
2019-01-02,23058.61,23413.47,22928.59,23346.24,100597540
2019-01-03,23176.39,23176.39,22638.41,22686.22,128949958
2019-01-04,22894.92,23518.64,22894.92,23433.16,129924110
2019-01-07,23474.26,23687.74,23301.59,23531.35,104392834
2019-01-08,23680.32,23864.65,23581.45,23787.45,91689625
2019-01-09,23844.27,23985.45,23776.56,23879.12,93783100
2019-01-10,23811.11,24014.78,23703.25,24001.92,104184937
2019-01-11,23940.01,23996.32,23798.16,23995.95,81286827
2019-01-14,23880.53,23964.9,23765.24,23909.84,91713169
2019-01-15,23914.11,24099.14,23887.93,24065.59,85541723
2019-01-16,24139.91,24288.61,24119.72,24207.16,87148627
2019-01-17,24147.09,24474.46,24088.9,24370.1,81215137
2019-01-18,24534.19,24750.22,24459.03,24706.35,135318691
2019-01-22,24607.76,24607.76,24244.31,24404.48,112807554
2019-01-23,24577.25,24700.98,24307.17,24575.62,89585668
2019-01-24,24579.96,24626.3,24422.73,24553.24,87957072
2019-01-25,24687.21,24860.15,24676.75,24737.2,110503666
2019-01-28,24596.98,24596.98,24323.94,24528.22,91457455
2019-01-29,24519.62,24674.87,24504.04,24579.96,83260900
2019-01-30,24826.52,25109.62,24790.9,25014.86,102262745
2019-01-31,24954.48,25049.62,24842.09,24999.67,166845214
